category	status	slug	name	url	note
Luxury Goods	Positive	goyard-product	Goyard Product Detail	https://www.goyard.com/us_en/maison-goyard.html	Product mystique, pattern discipline, craft world.
Luxury Goods	Positive	hermes	Hermes	https://www.hermes.com/us/en/	Warm accent color, craft, maker story.
Luxury Goods	Positive	hermes-product	Hermes Product Detail	https://www.hermes.com/us/en/category/women/bags-and-small-leather-goods/bags-and-clutches/	Actual object craft, warm accent, product as artifact.
Luxury Goods	Positive	patek-philippe	Patek Philippe	https://www.patek.com/	Stewardship, human warmth, one-line copy.
Luxury Goods	Positive	patek-product	Patek Philippe Product Detail	https://www.patek.com/en/collection/all-models	Actual watches, precision, heirloom object language.
Luxury Goods	Positive	apple	Apple	https://www.apple.com/	One hero per view, invisible UI, clarity.
Luxury Goods	Positive	rolls-royce	Rolls-Royce	https://www.rolls-roycemotorcars.com/	Whispered power, ceremony, reductive geometry.
Luxury Goods	Positive	rolls-royce-product	Rolls-Royce Product Detail	https://www.rolls-roycemotorcars.com/en_GB/showroom.html	Actual car/product presentation, ceremonial detail.
Luxury Goods	Positive	restoration-hardware	Restoration Hardware	https://rh.com/	Warm neutrals and oversized gallery presentation.
Luxury Goods	Positive	rh-gallery	Restoration Hardware Gallery	https://rh.com/us/en/catalog/category/products.jsp?categoryId=cat160024	Warm neutral objects, gallery merchandising.
Luxury Goods	Positive	aesop	Aesop	https://www.aesop.com/us/	Literary copy, culture, apothecary restraint.
Luxury Goods	Positive	le-labo	Le Labo	https://www.lelabofragrances.com/	Personalized artifact and visible craft theater.
Luxury Goods	Positive	le-labo-product	Le Labo Product Detail	https://www.lelabofragrances.com/santal-33-147.html	Actual bottle, label, personalization as artifact.
Digital Product	Positive	perplexity	Perplexity	https://www.perplexity.ai/	Answer-first AI and content-forward simplicity.
Digital Product	Positive	manus	Manus	https://manus.im/	Agent UI, thinking state, live trace.
Digital Product	Positive	apple-music	Apple Music	https://www.apple.com/apple-music/	Editorial cards and content-derived color.
Digital Product	Positive	amex-app	Amex App	https://www.americanexpress.com/en-us/support/digital/amex-mobile-app/	Card-as-hero and calm premium utility.
Digital Product	Positive	oura	Oura	https://ouraring.com/	Humanize a cold category with warm technology and a physical artifact.
Digital Product	Positive	journey	Journey	https://www.journey.com/	Boutique-hotel app UI, loyalty tiers, lookbook onboarding.
Editorial / Travel	Positive	conde-nast-traveller	Conde Nast Traveller	https://www.cntraveler.com/	Editor-vetted authority, travel photography, serif/sans split.
Editorial / Travel	Positive	the-rume	The Rume	https://rumemagazine.com/	Lists and practical information can still feel designed.
Anti-Reference	Negative	beli	Beli	https://beliapp.com/	Crowd ranking, social feed, leaderboards to avoid.
Anti-Reference	Negative	louis-vuitton	Louis Vuitton	https://us.louisvuitton.com/eng-us/homepage	Logo saturation and monogram maximalism.
Anti-Reference	Negative	ferrari	Ferrari	https://www.ferrari.com/	Loud status, red spectacle, aggressive wealth cues.
Anti-Reference	Negative	bellagio	Las Vegas Maximalism - Bellagio	https://bellagio.mgmresorts.com/en.html	Gold, crystal, dazzle, scale-as-luxury.
Anti-Reference	Negative	caesars-palace	Las Vegas Maximalism - Caesars Palace	https://www.caesars.com/caesars-palace	Gold, crystal, dazzle, scale-as-luxury.
Anti-Reference	Tension	ritz-carlton	Ritz-Carlton	https://www.ritzcarlton.com/	Keep service ethos; avoid inherited ornate formality.
Tension / Study	Tension	wheels-up	Wheels Up	https://wheelsup.com/	Lifestyle events useful; mass-access tone is wrong.
Tension / Study	Tension	dorsia	Dorsia	https://www.dorsia.com/	Guaranteed table mechanic; avoid flexy impossible tone.
Tension / Study	Study	mastercard-priceless	Mastercard Priceless	https://www.priceless.com/	Access-as-emotion; make quieter and more personal.
Tension / Study	Tension	capital-one-venture-x	Capital One Venture X	https://www.capitalone.com/credit-cards/venture-x/	Lounge proof point; avoid premium-for-everyone dilution.
Tension / Study	Study	quintessentially	Quintessentially	https://www.quintessentially.com/	Little-black-book mechanic; tone can get too flashy.
Tension / Study	Study	ten-lifestyle	Ten Lifestyle	https://tenlifestylegroup.com/	AI/human concierge validation; less corporate visual style.
Tension / Study	Tension	knightsbridge-circle	Knightsbridge Circle	https://www.knightsbridgecircle.com/	Scarcity and closed doors; avoid gold-flex luxury.
Tension / Study	Tension	velocity-black	Velocity Black	https://velocity.black/	Message-it-and-it-is-done UX; avoid loud limitless tone.
Tension / Study	Tension	the-twenty-two	The Twenty Two	https://www.thetwentytwo.com/london/	Taste-filter club; skip maximalist decor.
Tension / Study	Tension	annabels	Annabel's & Birley	https://annabels.co.uk/	Host intimacy and vetting; not theatrical interiors.
Tension / Study	Tension	home-house	Home House	https://www.homehouse.co.uk/	Boundary marker for access becoming too soft.
Tension / Study	Tension	soho-house	Soho House	https://www.sohohouse.com/	Cautionary tale: over-scaling kills mystique.
Tension / Study	Negative	neuehouse	NeueHouse	https://www.neuehouse.com/	Cachet without economics; avoid work-club blandness.
